room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
5797610,10397461,Private room,,6,5.0,4.5,2.0,1.0,70.0,1.0,21.390586,-157.908032,2015-08-17 23:33:30.526708
7681514,33123363,Private room,,5,0.0,,2.0,1.0,59.0,1.0,21.296867,-157.842315,2015-08-17 23:33:40.548790
7684483,33123363,Private room,,5,0.0,,2.0,1.0,69.0,1.0,21.295671,-157.843605,2015-08-17 23:33:40.551765
6637742,34615161,Private room,,5,20.0,5.0,2.0,1.0,85.0,1.0,21.296894,-157.840821,2015-08-17 23:33:40.557116
7213555,33123363,Private room,,5,5.0,4.5,2.0,1.0,59.0,1.0,21.295908,-157.843696,2015-08-17 23:33:40.559736
6779672,35490777,Private room,,5,2.0,4.5,2.0,1.0,60.0,3.0,21.291776,-157.83623,2015-08-17 23:33:40.562511
6590348,33123363,Private room,,5,8.0,4.0,1.0,1.0,60.0,1.0,21.295505,-157.843687,2015-08-17 23:33:40.565351
6751927,24599294,Private room,,5,3.0,3.5,2.0,1.0,59.0,1.0,21.295606,-157.846722,2015-08-17 23:33:40.568265
653415,3286244,Private room,,6,71.0,4.5,2.0,1.0,95.0,2.0,21.301614,-157.855172,2015-08-17 23:33:40.571067
6613434,33123363,Private room,,5,4.0,4.5,1.0,1.0,69.0,1.0,21.297347,-157.842292,2015-08-17 23:33:40.573841
1804314,9458290,Private room,,4,29.0,4.5,2.0,1.0,115.0,1.0,21.29067,-157.849298,2015-08-17 23:33:40.579202
1331498,7222568,Private room,,4,48.0,5.0,1.0,1.0,89.0,2.0,21.290199,-157.841923,2015-08-17 23:33:40.581851
6157231,31691659,Private room,,5,0.0,,2.0,1.0,299.0,1.0,21.294588,-157.848666,2015-08-17 23:33:40.584305
1493989,7985219,Private room,,5,3.0,4.5,1.0,1.0,75.0,4.0,21.29315,-157.849285,2015-08-17 23:33:40.589706
7015669,21939005,Private room,,4,0.0,,2.0,1.0,69.0,1.0,21.289571,-157.838466,2015-08-17 23:33:40.592217
1462639,7838681,Private room,,7,43.0,5.0,3.0,1.0,48.0,1.0,21.350402,-157.92342,2015-08-17 23:33:57.512478
